distance,loss
684.900,30.401
685.000,30.407
685.100,30.420
685.200,30.439
685.300,30.465
685.400,30.497
685.500,30.531
685.600,30.567
685.700,30.601
685.800,30.631
685.900,30.655
686.000,30.671
686.100,30.678
686.200,30.675
686.300,30.668
686.400,30.658
686.500,30.650
686.600,30.646
686.700,30.651
686.800,30.667
686.900,30.697
687.000,30.740
687.100,30.794
687.200,30.855
687.300,30.921
687.400,30.988
687.500,31.054
687.600,31.115
687.700,31.169
687.800,31.214
687.900,31.253
688.000,31.285
688.100,31.310
688.200,31.331
688.300,31.347
688.400,31.360
688.500,31.370
688.600,31.377
688.700,31.381
688.800,31.383
688.900,31.383
689.000,31.380
689.100,31.375
689.200,31.368
689.300,31.358
689.400,31.346
689.500,31.331
689.600,31.310
689.700,31.284
689.800,31.251
689.900,31.210
690.000,31.161
690.100,31.101
690.200,31.034
690.300,30.963
690.400,30.891
690.500,30.823
690.600,30.763
690.700,30.715
690.800,30.683
690.900,30.670
691.000,30.678
691.100,30.700
691.200,30.733
691.300,30.774
691.400,30.816
691.500,30.856
691.600,30.890
691.700,30.912
691.800,30.923
691.900,30.925
692.000,30.921
692.100,30.913
692.200,30.905
692.300,30.900
692.400,30.900
692.500,30.909
692.600,30.927
692.700,30.952
692.800,30.983
692.900,31.017
693.000,31.052
693.100,31.086
693.200,31.117
693.300,31.142
693.400,31.162
693.500,31.175
693.600,31.181
693.700,31.182
693.800,31.177
693.900,31.165
694.000,31.149
694.100,31.127
694.200,31.100
694.300,31.069
694.400,31.037
694.500,31.004
694.600,30.973
694.700,30.944
694.800,30.919
694.900,30.899
695.000,30.887
695.100,30.879
695.200,30.877
695.300,30.878
695.400,30.883
695.500,30.889
695.600,30.897
695.700,30.906
695.800,30.914
695.900,30.921
696.000,30.926
696.100,30.929
696.200,30.928
696.300,30.924
696.400,30.915
696.500,30.901
696.600,30.881
696.700,30.857
696.800,30.829
696.900,30.798
697.000,30.766
697.100,30.733
697.200,30.701
697.300,30.670
697.400,30.641
697.500,30.614
697.600,30.588
697.700,30.561
697.800,30.534
697.900,30.505
698.000,30.475
698.100,30.441
698.200,30.404
698.300,30.365
698.400,30.327
698.500,30.291
698.600,30.260
698.700,30.235
698.800,30.219
698.900,30.214
699.000,30.220
699.100,30.236
699.200,30.261
699.300,30.293
699.400,30.329
699.500,30.367
699.600,30.406
699.700,30.444
699.800,30.478
